filename,category
Normal-1484.png,Normal
Normal-1682.png,Normal
Normal-7064.png,Normal
COVID-620.png,COVID
Normal-9780.png,Normal
Normal-2511.png,Normal
COVID-687.png,COVID
Normal-9312.png,Normal
Normal-7194.png,Normal
Normal-6532.png,Normal
COVID-2887.png,COVID
Viral Pneumonia-637.png,Viral Pneumonia
Normal-772.png,Normal
Normal-422.png,Normal
Normal-9801.png,Normal
Normal-2448.png,Normal
Normal-8305.png,Normal
Normal-726.png,Normal
Normal-6984.png,Normal
COVID-1349.png,COVID
COVID-499.png,COVID
Viral Pneumonia-601.png,Viral Pneumonia
Normal-3124.png,Normal
Normal-7745.png,Normal
Normal-5652.png,Normal
COVID-2566.png,COVID
COVID-212.png,COVID
Normal-7597.png,Normal
Normal-2594.png,Normal
Normal-5434.png,Normal
Normal-9645.png,Normal
Normal-7635.png,Normal
Normal-9797.png,Normal
COVID-3246.png,COVID
Normal-9259.png,Normal
COVID-2655.png,COVID
Normal-3846.png,Normal
Normal-5600.png,Normal
Normal-8913.png,Normal
Normal-746.png,Normal
Normal-4681.png,Normal
COVID-1842.png,COVID
Normal-2270.png,Normal
Viral Pneumonia-474.png,Viral Pneumonia
Normal-3508.png,Normal
Normal-5910.png,Normal
Normal-1151.png,Normal
Normal-2038.png,Normal
Normal-1688.png,Normal
Normal-6249.png,Normal
Normal-1860.png,Normal
Normal-5140.png,Normal
Viral Pneumonia-1292.png,Viral Pneumonia
COVID-1174.png,COVID
Normal-5486.png,Normal
Normal-8479.png,Normal
Normal-2017.png,Normal
Normal-1402.png,Normal
Normal-2411.png,Normal
Normal-708.png,Normal
Normal-3868.png,Normal
COVID-2842.png,COVID
Normal-4013.png,Normal
COVID-332.png,COVID
COVID-2656.png,COVID
Normal-693.png,Normal
Normal-132.png,Normal
Normal-8885.png,Normal
Normal-1279.png,Normal
Normal-2946.png,Normal
Normal-7168.png,Normal
Normal-1991.png,Normal
Normal-6636.png,Normal
Normal-7643.png,Normal
Normal-607.png,Normal
Normal-681.png,Normal
Normal-5670.png,Normal
Normal-9557.png,Normal
Normal-7885.png,Normal
Normal-1800.png,Normal
COVID-3336.png,COVID
Normal-7387.png,Normal
Normal-6234.png,Normal
Normal-1352.png,Normal
Normal-3396.png,Normal
COVID-1517.png,COVID
COVID-415.png,COVID
Normal-8743.png,Normal
Normal-8610.png,Normal
Normal-10113.png,Normal
Normal-9802.png,Normal
Normal-4708.png,Normal
Normal-3594.png,Normal
Normal-8573.png,Normal
Normal-373.png,Normal
Normal-3884.png,Normal
Normal-1071.png,Normal
COVID-383.png,COVID
Normal-7521.png,Normal
Viral Pneumonia-1105.png,Viral Pneumonia
COVID-1267.png,COVID
Normal-1586.png,Normal
COVID-1718.png,COVID
COVID-2120.png,COVID
Normal-7214.png,Normal
Normal-7290.png,Normal
Normal-3048.png,Normal
Normal-7568.png,Normal
Normal-9522.png,Normal
Normal-1007.png,Normal
Normal-10091.png,Normal
Normal-6769.png,Normal
Normal-9284.png,Normal
Normal-50.png,Normal
Normal-2350.png,Normal
COVID-2221.png,COVID
Normal-10056.png,Normal
Normal-2619.png,Normal
COVID-2599.png,COVID
Normal-4843.png,Normal
Normal-3686.png,Normal
Normal-3383.png,Normal
Normal-1091.png,Normal
Normal-185.png,Normal
Normal-6187.png,Normal
Normal-2094.png,Normal
Normal-880.png,Normal
Normal-2204.png,Normal
Normal-8719.png,Normal
Normal-8544.png,Normal
Normal-6923.png,Normal
Normal-276.png,Normal
Normal-7723.png,Normal
Normal-2406.png,Normal
Normal-6949.png,Normal
Normal-9047.png,Normal
COVID-1699.png,COVID
Normal-9672.png,Normal
Normal-4857.png,Normal
COVID-1340.png,COVID
Normal-1065.png,Normal
Normal-5511.png,Normal
Normal-7629.png,Normal
Normal-2444.png,Normal
COVID-1711.png,COVID
Normal-2714.png,Normal
Normal-7309.png,Normal
Normal-3399.png,Normal
Normal-7207.png,Normal
Normal-7018.png,Normal
Viral Pneumonia-319.png,Viral Pneumonia
Normal-7842.png,Normal
COVID-2187.png,COVID
Normal-4234.png,Normal
Normal-7150.png,Normal
Normal-2650.png,Normal
Normal-530.png,Normal
Normal-5335.png,Normal
Normal-8602.png,Normal
Normal-860.png,Normal
Normal-8764.png,Normal
Normal-6288.png,Normal
Normal-1405.png,Normal
COVID-2880.png,COVID
Viral Pneumonia-475.png,Viral Pneumonia
Normal-958.png,Normal
COVID-1772.png,COVID
Normal-3550.png,Normal
COVID-2953.png,COVID
Normal-1274.png,Normal
Normal-1226.png,Normal
Viral Pneumonia-1226.png,Viral Pneumonia
Normal-1031.png,Normal
Viral Pneumonia-1245.png,Viral Pneumonia
Normal-4003.png,Normal
Viral Pneumonia-881.png,Viral Pneumonia
Viral Pneumonia-901.png,Viral Pneumonia
Normal-3499.png,Normal
Normal-6581.png,Normal
Normal-6409.png,Normal
COVID-1888.png,COVID
Viral Pneumonia-48.png,Viral Pneumonia
Normal-3058.png,Normal
Normal-3599.png,Normal
Normal-7531.png,Normal
COVID-429.png,COVID
COVID-548.png,COVID
Normal-21.png,Normal
Normal-9686.png,Normal
Viral Pneumonia-221.png,Viral Pneumonia
Normal-4825.png,Normal
Normal-3815.png,Normal
COVID-1989.png,COVID
COVID-3535.png,COVID
COVID-341.png,COVID
Normal-5654.png,Normal
Normal-5024.png,Normal
COVID-1543.png,COVID
COVID-2718.png,COVID
COVID-1716.png,COVID
Normal-1306.png,Normal
Normal-2526.png,Normal
Normal-8320.png,Normal
Normal-6996.png,Normal
Viral Pneumonia-467.png,Viral Pneumonia
COVID-2103.png,COVID
Normal-7468.png,Normal
Normal-2254.png,Normal
Normal-4327.png,Normal
Normal-292.png,Normal
Viral Pneumonia-717.png,Viral Pneumonia
Normal-5054.png,Normal
Normal-5984.png,Normal
Normal-8652.png,Normal
Normal-4497.png,Normal
Viral Pneumonia-1291.png,Viral Pneumonia
Normal-1341.png,Normal
Normal-1504.png,Normal
Normal-2258.png,Normal
Normal-5294.png,Normal
Normal-5630.png,Normal
Normal-9377.png,Normal
Normal-1408.png,Normal
COVID-3558.png,COVID
Normal-4728.png,Normal
COVID-2776.png,COVID
COVID-3613.png,COVID
Viral Pneumonia-215.png,Viral Pneumonia
Normal-9249.png,Normal
COVID-551.png,COVID
Normal-1013.png,Normal
Normal-8038.png,Normal
Normal-6444.png,Normal
Normal-5937.png,Normal
Normal-6564.png,Normal
Normal-7660.png,Normal
Normal-8177.png,Normal
COVID-569.png,COVID
Normal-5799.png,Normal
COVID-2406.png,COVID
Normal-5875.png,Normal
Normal-1147.png,Normal
Normal-5818.png,Normal
Normal-3986.png,Normal
Normal-8438.png,Normal
Normal-320.png,Normal
Normal-5073.png,Normal
Normal-3376.png,Normal
Viral Pneumonia-846.png,Viral Pneumonia
Normal-5331.png,Normal
Normal-611.png,Normal
COVID-1903.png,COVID
Normal-9738.png,Normal
Normal-4050.png,Normal
Normal-5669.png,Normal
Normal-6899.png,Normal
COVID-293.png,COVID
Normal-1871.png,Normal
Normal-4271.png,Normal
Normal-6521.png,Normal
Normal-4402.png,Normal
